"","h96","psuid","h88","i1","d1","j3","W5","W5xHH","s1","s28","ssxsc","s25","sd","s26","s2","s7t","s8t","s7a","s8a","s7c","s8c","s38","s15","s18","s19","s22","s24","s24a","s29","s30","s31","s32","s33","s34","s35","s36","s37","sttxsc","s39","s21","s40","s41","TRAVDATE","TRAVDay","TRAVDD","TRAVMM","TRAVYYYY","j14","j37","jjxsc","j36","j36a","j23","j24","j26","j28","j28a","j29","j30","jttxsc","j32","j33","jotxsc","j54","j31","j31a","j31b","j55","j56","j59","j60","jdungross","j34","jd","j57g","j58g","jtotcost","j62"
"21","2002",20102,151,"Person no.1","Day 2","Jrny 2",1.56084161,1.06448944,"Stage 1","No",1,10,10,"1 to under 2 miles","Car",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Public car park (All pre-1998)","Household vehicle 1","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",30,"30 under 45 mins",30,0,"Nil","Last stage (Days 1-6)","Main stage",13231900800,"Friday",1,"February",2002,"No","No",1,"Private: car driver","Car/van driver","One","Home","Food shopping(from 98)","Food shopping(from 98)","Shopping",30,"30 under 45 mins",30,30,"30 under 45 mins",30,570,"0930 - 0959","0900 - 0959","M-F 0900 - 0959",585,"0930 - 0959",600,"1000 - 1029",10,"1 to under 2 miles",10,"Greater London","Greater London",-9,"DNA"
"22","2002",20102,151,"Person no.1","Day 6","Jrny 2",1.51077999,1.03034756,"Stage 1","No",1,100,100,"10 to under 15 miles","Car",1,"One",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 1","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",35,"30 under 45 mins",35,0,"Nil","Last stage (Days 1-6)","Main stage",13232246400,"Tuesday",5,"February",2002,"No","No",1,"Private: car driver","Car/van driver","One","Work","Home","Commuting","Commuting",35,"30 under 45 mins",35,45,"45 mins under 1 hour",45,1080,"1800 - 1814","1800 - 1859","M-F 1800 - 1859",1102.5,"1815 - 1829",1125,"1830 - 1859",100,"10 to under 15 miles",100,"Greater London","Greater London",-9,"DNA"
"23","2002",20102,151,"Person no.2","Day 2","Jrny 2",1.56084161,1.06448944,"Stage 1","No",1,10,10,"1 to under 2 miles","Car",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Front passenger","DNA","Household vehicle 1","Household car-pass.","Car/van passenger",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",30,"30 under 45 mins",30,-9,"DNA","Last stage (Days 1-6)","Main stage",13231900800,"Friday",1,"February",2002,"No","No",1,"Private: car passenger","Car/van passenger","One","Food shopping(from 98)","Home","Food shopping(from 98)","Shopping",30,"30 under 45 mins",30,30,"30 under 45 mins",30,630,"1030 - 1059","1000 - 1059","M-F 1000 - 1459",645,"1030 - 1059",660,"1100 - 1129",10,"1 to under 2 miles",10,"Greater London","Greater London",-9,"DNA"
"24","2002",20102,201,"Person no.1","Day 3","Jrny 1",0.99717176,1.01109451,"Stage 3","No",1,5,5,"Under 1 mile","London stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","London stage bus","London stage bus",55,"50p to under 75p",-9,"DNA",55,"50p to under 75p","Reduced ordinary adult",1,"Less than 3 mins",1,-9,"DNA","Last stage (Days 1-6)","Other stage",13230864000,"Sunday",20,"January",2002,"No","No",1,"LT underground","LT Underground","Three","Home","Work","Commuting","Commuting",44,"30 under 45 mins",44,63,"1 under 1.5 hours",63,823,"1330 - 1359","1300 - 1359","Sun",854.5,"1400 - 1429",886,"1430 - 1459",90,"5 to under 10 miles",90,"Greater London","Greater London",165,"100-199p"
"25","2002",20102,201,"Person no.1","Day 3","Jrny 2",0.99717176,1.01109451,"Stage 3","No",1,25,25,"2 to under 3 miles","London stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","London stage bus","London stage bus",55,"50p to under 75p",-9,"DNA",55,"50p to under 75p","Reduced ordinary adult",15,"15 under 30 mins",15,-9,"DNA","Last stage (Days 1-6)","Other stage",13230864000,"Sunday",20,"January",2002,"No","No",1,"LT underground","LT Underground","Three","Work","Home","Commuting","Commuting",57,"45 mins under 1 hour",57,70,"1 under 1.5 hours",70,1375,"2230 - 2259","2200 - 2259","Sun",1410,"2330 - 2359",1445,"0000 - 0059",90,"5 to under 10 miles",90,"Greater London","Greater London",165,"100-199p"
"26","2002",20102,201,"Person no.1","Day 5","Jrny 1",1.15088527,1.16695421,"Stage 1","No",1,15,15,"1 to under 2 miles","London stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","London stage bus","London stage bus",70,"50p to under 75p",-9,"DNA",70,"50p to under 75p","Ordinary adult",8,"8 under 15 mins",8,-9,"DNA","Last stage (Days 1-6)","Main stage",13231036800,"Tuesday",22,"January",2002,"No","No",1,"London stage bus","London stage bus","One","Home","Food shopping(from 98)","Food shopping(from 98)","Shopping",8,"8 under 15 mins",8,40,"30 under 45 mins",40,705,"1130 - 1159","1100 - 1159","M-F 1000 - 1459",725,"1200 - 1229",745,"1200 - 1229",15,"1 to under 2 miles",15,"Greater London","Greater London",70,"50-99p"
"27","2002",20102,211,"Person no.2","Day 1","Jrny 1",1.09297821,1,"Stage 1","No",1,312,312,"25 to under 35 miles","Car",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Front passenger","DNA","Household vehicle 2","Household car-pass.","Car/van passenger",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",50,"45 mins under 1 hour",50,-9,"DNA","Last stage (Days 1-6)","Main stage",13230864000,"Sunday",20,"January",2002,"No","No",1,"Private: car passenger","Car/van passenger","One","Holiday: base","Home","Holiday: base","Holiday: base",50,"45 mins under 1 hour",50,50,"45 mins under 1 hour",50,940,"1530 - 1559","1500 - 1559","Sun",965,"1600 - 1629",990,"1630 - 1644",312,"25 to under 35 miles",312,"Eastern","Greater London",-9,"DNA"
"28","2002",20102,211,"Person no.2","Day 2","Jrny 2",1.11833163,1.02319664,"Stage 1","No",1,40,40,"3 to under 5 miles","Bicycle",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","DNA","DNA","DNA","Bicycle","Bicycle",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",19,"15 under 30 mins",19,-9,"DNA","Last stage (Days 1-6)","Main stage",13230950400,"Monday",21,"January",2002,"No","No",1,"Bicycle","Bicycle","One","Work","Home","Commuting","Commuting",19,"15 under 30 mins",19,19,"15 under 30 mins",19,1305,"2130 - 2159","2100 - 2159","M-F Other times",1314.5,"2130 - 2159",1324,"2200 - 2229",40,"3 to under 5 miles",40,"Greater London","Greater London",-9,"DNA"
"29","2002",20102,211,"Person no.2","Day 5","Jrny 4",1.12308507,1.02754571,"Stage 1","No",1,40,40,"3 to under 5 miles","Bicycle",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","DNA","DNA","DNA","Bicycle","Bicycle",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",22,"15 under 30 mins",22,-9,"DNA","Last stage (Days 1-6)","Main stage",13231209600,"Thursday",24,"January",2002,"No","No",1,"Bicycle","Bicycle","One","Work","Home","Commuting","Commuting",22,"15 under 30 mins",22,22,"15 under 30 mins",22,1205,"2000 - 2029","2000 - 2059","M-F Other times",1216,"2000 - 2029",1227,"2000 - 2029",40,"3 to under 5 miles",40,"Greater London","Greater London",-9,"DNA"
"30","2002",20102,221,"Person no.2","Day 7","Jrny 2",1.56222481,1.11513943,"Stage 1","No",1,30,30,"3 to under 5 miles","London stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","London stage bus","London stage bus",200,"£2 to under £3",-9,"DNA",200,"£2 to under £3","Ordinary adult",30,"30 under 45 mins",30,-9,"DNA","Last stage (Day 7)","Main stage",13231468800,"Sunday",27,"January",2002,"No","No",1,"London stage bus","London stage bus","One","Personal business other","Home","Personal business other","Other personal business",30,"30 under 45 mins",30,35,"30 under 45 mins",35,750,"1230 - 1259","1200 - 1259","Sun",767.5,"1230 - 1259",785,"1300 - 1329",30,"3 to under 5 miles",30,"Greater London","Greater London",200,"200-499p"
